,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
301,Kelly Olynyk\olynyke01,22,BOS,NBA,2013-14,70,9,20,3.3,7.2,2.8,5.5,0.6,1.6,1.4,1.7,2,3.2,5.2,1.6,0.5,0.4,1.5,3.2,8.7,0.466,0.5,0.351,0.506,0.811,0.546
302,Arinze Onuaku\onuakar01,26,TOT,NBA,2013-14,5,0,6,0.2,1,0.2,1,0,0,0.2,0.4,0.4,1.2,1.6,0.6,0,0,0.2,0.6,0.6,0.2,0.2,,0.2,0.5,0.255
303,Mason Plumlee\plumlma01,23,BRK,NBA,2013-14,70,22,18.2,2.8,4.3,2.8,4.3,0,0,1.7,2.8,1.4,3,4.4,0.9,0.7,0.8,1.1,2.4,7.4,0.659,0.666,0,0.659,0.626,0.67
304,Otto Porter\porteot01,20,WAS,NBA,2013-14,37,0,8.6,0.9,2.5,0.8,1.9,0.1,0.6,0.2,0.3,0.6,1,1.5,0.3,0.2,0,0.4,0.7,2.1,0.363,0.414,0.19,0.385,0.667,0.405
305,Phil Pressey\pressph01,22,BOS,NBA,2013-14,75,11,15.1,1,3.4,0.7,2,0.4,1.4,0.4,0.6,0.3,1.1,1.4,3.2,0.9,0.1,1.2,1.3,2.8,0.308,0.34,0.264,0.364,0.644,0.39
306,Miroslav Raduljica\radulmi01,26,MIL,NBA,2013-14,48,2,9.7,1.4,2.6,1.4,2.6,0,0,0.9,1.1,1.1,1.1,2.3,0.5,0.1,0.3,0.6,1.8,3.8,0.54,0.54,,0.54,0.818,0.603
307,Glen Rice\ricegl02,23,WAS,NBA,2013-14,11,1,9.9,1,3.4,0.5,1.8,0.5,1.5,0.5,0.6,0.4,1.5,1.8,0.6,0.5,0.1,0.8,0.6,2.9,0.297,0.3,0.294,0.365,0.714,0.399
308,Andre Roberson\roberan03,22,OKC,NBA,2013-14,40,16,10,0.8,1.7,0.8,1.4,0.1,0.3,0.2,0.3,0.9,1.5,2.4,0.4,0.5,0.3,0.5,1.9,1.9,0.485,0.564,0.154,0.5,0.7,0.518
309,Dennis Schroder\schrode01,20,ATL,NBA,2013-14,49,0,13.1,1.5,3.8,1.3,3,0.2,0.9,0.6,0.9,0.1,1.1,1.2,1.9,0.3,0,1.2,1.1,3.7,0.383,0.425,0.238,0.41,0.674,0.442
310,Peyton Siva\sivape01,23,DET,NBA,2013-14,24,0,9.3,0.8,2.4,0.5,1.3,0.3,1,0.5,0.6,0.1,0.5,0.6,1.4,0.4,0,0.8,1.1,2.3,0.316,0.344,0.28,0.377,0.733,0.425
311,Chris Smith\smithch05,26,NYK,NBA,2013-14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
312,Tony Snell\snellto01,22,CHI,NBA,2013-14,77,12,16,1.7,4.4,0.9,2.1,0.7,2.3,0.4,0.5,0.2,1.4,1.6,0.9,0.4,0.2,0.6,1.1,4.5,0.384,0.456,0.32,0.469,0.756,0.489
313,James Southerland\southja01,23,TOT,NBA,2013-14,4,0,7.5,1.3,3.8,0.5,2.3,0.8,1.5,0.3,0.5,0,2,2,0,0.3,0.5,0.3,0.8,3.5,0.333,0.222,0.5,0.433,0.5,0.441
314,D.J. Stephens\stephdj01,23,MIL,NBA,2013-14,3,0,5,1,2.3,1,2.3,0,0,0.3,0.3,0.3,1.3,1.7,0,0,0,0,0,2.3,0.429,0.429,,0.429,1,0.47
315,Adonis Thomas\thomaad01,20,TOT,NBA,2013-14,6,1,6.2,1,2.3,0.8,1.5,0.2,0.8,0.2,0.2,0,0.5,0.5,0.5,0,0,0.2,1,2.3,0.429,0.556,0.2,0.464,1,0.485
316,Hollis Thompson\thompho01,22,PHI,NBA,2013-14,77,41,22.6,2.2,4.8,1.4,2.7,0.9,2.2,0.7,0.9,0.9,2.3,3.2,0.9,0.7,0.2,0.8,1.9,6,0.46,0.507,0.401,0.55,0.712,0.57
317,Casper Ware\wareca01,24,PHI,NBA,2013-14,9,0,12.9,2,4.7,1.2,2.3,0.8,2.3,0.6,0.7,0,1,1,1.1,0.9,0,0.6,1.2,5.3,0.429,0.524,0.333,0.512,0.833,0.538
318,Royce White\whitero03,22,SAC,NBA,2013-14,3,0,3,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,,0,,0
319,Jeff Withey\witheje01,23,NOP,NBA,2013-14,58,4,11.8,1.2,2.2,1.2,2.2,0,0,0.9,1.3,0.8,1.7,2.6,0.4,0.3,0.9,0.3,1.3,3.3,0.535,0.539,0,0.535,0.712,0.59
320,Nate Wolters\woltena01,22,MIL,NBA,2013-14,58,31,22.6,2.9,6.7,2.6,5.6,0.3,1.1,1,1.6,0.6,2,2.6,3.2,0.6,0.3,1,1.2,7.2,0.437,0.465,0.29,0.46,0.656,0.486
321,Cody Zeller\zelleco01,21,CHA,NBA,2013-14,82,3,17.3,2.1,4.9,2.1,4.9,0,0,1.8,2.4,1.4,2.9,4.3,1.1,0.5,0.5,1.1,2.1,6,0.426,0.427,0,0.426,0.73,0.498
322,Quincy Acy\acyqu01,22,TOR,NBA,2012-13,29,0,11.8,1.4,2.6,1.4,2.5,0,0.1,1.1,1.3,1,1.6,2.7,0.4,0.4,0.5,0.6,1.8,4,0.56,0.562,0.5,0.567,0.816,0.632
323,Josh Akognon\akognjo01,26,DAL,NBA,2012-13,3,0,3,0.7,1.3,0.3,0.7,0.3,0.7,0,0,0,0.3,0.3,0.3,0,0,0,1,1.7,0.5,0.5,0.5,0.625,,0.625
324,Harrison Barnes\barneha02,20,GSW,NBA,2012-13,81,81,25.4,3.4,7.8,2.8,6,0.6,1.8,1.8,2.3,0.7,3.5,4.1,1.2,0.6,0.2,1.2,1.7,9.2,0.439,0.464,0.359,0.481,0.758,0.526
325,Will Barton\bartowi01,22,POR,NBA,2012-13,73,5,12.2,1.6,4.2,1.5,3.3,0.1,0.9,0.7,0.9,0.5,1.5,2,0.8,0.5,0.1,0.8,0.8,4,0.382,0.447,0.138,0.396,0.769,0.437
326,Aron Baynes\baynear01,26,SAS,NBA,2012-13,16,0,8.8,1.1,2.3,1.1,2.2,0,0.1,0.4,0.8,0.8,1.3,2,0.3,0.1,0.4,0.7,1.4,2.7,0.5,0.514,0,0.5,0.583,0.521
327,Kent Bazemore\bazemke01,23,GSW,NBA,2012-13,61,0,4.4,0.7,1.9,0.5,1.3,0.2,0.6,0.4,0.7,0.1,0.3,0.4,0.4,0.3,0.1,0.3,0.4,2,0.371,0.402,0.294,0.414,0.614,0.454
328,Bradley Beal\bealbr01,19,WAS,NBA,2012-13,56,46,31.2,5,12.3,3.4,8.1,1.6,4.2,2.2,2.8,0.8,3,3.8,2.4,0.9,0.5,1.6,2,13.9,0.41,0.424,0.386,0.477,0.786,0.515
329,Patrick Beverley\beverpa01,24,HOU,NBA,2012-13,41,0,17.4,1.9,4.6,1,2.3,0.9,2.3,0.8,1,1.1,1.6,2.7,2.9,0.9,0.5,1.1,2,5.6,0.418,0.462,0.375,0.513,0.829,0.551
330,Victor Claver\clavevi01,24,POR,NBA,2012-13,49,16,16.6,1.5,3.9,1,2.1,0.5,1.8,0.3,0.6,0.6,1.8,2.4,0.9,0.5,0.2,0.9,1.5,3.8,0.392,0.48,0.287,0.458,0.467,0.462
331,Chris Copeland\copelch01,28,NYK,NBA,2012-13,56,13,15.4,3.3,6.8,2.2,4.3,1.1,2.5,1.1,1.5,0.6,1.5,2.1,0.5,0.3,0.2,0.9,1.9,8.7,0.479,0.513,0.421,0.557,0.759,0.583
332,Jae Crowder\crowdja01,22,DAL,NBA,2012-13,78,16,17.3,1.8,4.7,1,2.2,0.8,2.5,0.6,0.9,0.4,1.9,2.4,1.2,0.8,0.2,0.6,1.6,5,0.384,0.446,0.328,0.47,0.644,0.491
333,Jared Cunningham\cunnija01,21,DAL,NBA,2012-13,8,0,3.3,0.8,1.8,0.5,1.4,0.3,0.4,0.3,0.3,0.1,0.3,0.4,0.1,0.1,0,0.3,0.4,2,0.429,0.364,0.667,0.5,1,0.538
334,Anthony Davis\davisan02,19,NOH,NBA,2012-13,64,60,28.8,5.5,10.6,5.5,10.5,0,0.1,2.6,3.5,2.6,5.6,8.2,1,1.2,1.8,1.4,2.5,13.5,0.516,0.521,0,0.516,0.751,0.559
335,Nando De Colo\decolna01,25,SAS,NBA,2012-13,72,6,12.8,1.5,3.3,1,2.2,0.4,1.1,0.5,0.6,0.3,1.6,1.9,1.9,0.6,0.1,1.1,1.2,3.8,0.436,0.465,0.378,0.5,0.795,0.53
336,Andre Drummond\drumman01,19,DET,NBA,2012-13,60,10,20.7,3.5,5.7,3.5,5.7,0,0,1,2.7,2.8,4.8,7.6,0.5,1,1.6,1,2.4,7.9,0.608,0.609,0.5,0.61,0.371,0.578
337,Kim English\engliki01,24,DET,NBA,2012-13,41,0,9.9,1,2.7,0.7,1.5,0.3,1.2,0.5,0.7,0.2,0.7,0.9,0.6,0.4,0.1,0.5,1.1,2.9,0.375,0.452,0.28,0.438,0.724,0.477
338,Festus Ezeli\ezelife01,23,GSW,NBA,2012-13,78,41,14.4,0.9,2.2,0.9,2.2,0,0,0.6,1,1.8,2.2,4,0.3,0.3,0.9,0.8,2,2.4,0.438,0.438,,0.438,0.531,0.467
339,Evan Fournier\fournev01,20,DEN,NBA,2012-13,38,4,11.3,2,4,1.4,2.6,0.6,1.4,0.8,1,0.2,0.8,0.9,1.2,0.5,0,0.8,1.7,5.3,0.493,0.541,0.407,0.566,0.769,0.597
340,Joel Freeland\freeljo01,25,POR,NBA,2012-13,51,1,9.4,1.1,2.8,1.1,2.8,0,0,0.4,0.5,0.8,1.5,2.3,0.3,0.3,0.2,0.4,1.3,2.6,0.408,0.408,,0.408,0.667,0.435
341,Diante Garrett\garredi02,24,PHO,NBA,2012-13,19,0,7.8,0.8,2.6,0.7,1.8,0.2,0.8,0.3,0.5,0.3,0.5,0.8,1.6,0.5,0,0.8,0.3,2.1,0.327,0.382,0.2,0.357,0.5,0.375
342,Draymond Green\greendr01,22,GSW,NBA,2012-13,79,1,13.4,1.1,3.3,0.9,2.4,0.2,0.8,0.6,0.7,0.7,2.6,3.3,0.7,0.5,0.3,0.6,2,2.9,0.327,0.368,0.209,0.354,0.818,0.404
343,Ben Hansbrough\hansbbe01,25,IND,NBA,2012-13,28,0,7.1,0.5,1.6,0.3,0.8,0.2,0.8,0.8,1,0.1,0.6,0.6,0.8,0.3,0.1,0.6,0.8,2,0.333,0.409,0.261,0.4,0.778,0.501
344,Maurice Harkless\harklma01,19,ORL,NBA,2012-13,76,59,26,3.4,7.4,3,5.9,0.4,1.5,1,1.7,1.6,2.8,4.4,0.7,1.2,0.8,0.9,1.9,8.2,0.461,0.51,0.274,0.489,0.57,0.504
345,John Henson\hensojo01,22,MIL,NBA,2012-13,63,9,13.1,2.6,5.3,2.6,5.3,0,0,0.9,1.7,1.8,2.9,4.7,0.5,0.3,0.7,0.7,1.3,6,0.482,0.486,0,0.482,0.533,0.497
346,Justin Holiday\holidju01,23,PHI,NBA,2012-13,9,0,15.8,1.8,5.3,1.3,3.6,0.4,1.8,0.7,0.9,0,1.6,1.6,1.7,0.3,0.7,1,0.8,4.7,0.333,0.375,0.25,0.375,0.75,0.408
347,Bernard James\jamesbe01,27,DAL,NBA,2012-13,46,11,9.9,1.2,2.2,1.2,2.2,0,0,0.5,0.9,1.1,1.7,2.8,0.1,0.3,0.8,0.4,1.4,2.8,0.515,0.525,0,0.515,0.61,0.541
348,John Jenkins\jenkijo01,21,ATL,NBA,2012-13,61,2,14.8,2.1,4.8,1.3,2.6,0.9,2.3,1,1.1,0.3,1.3,1.5,0.9,0.2,0.2,0.7,0.6,6.1,0.446,0.5,0.384,0.536,0.843,0.576
349,Chris Johnson\johnsch04,22,MEM,NBA,2012-13,8,0,12.8,1.4,3.1,0.6,0.9,0.8,2.3,0.1,0.3,0.6,0.8,1.4,0.3,0.5,0,0.4,0.6,3.6,0.44,0.714,0.333,0.56,0.5,0.56
350,Orlando Johnson\johnsor01,23,IND,NBA,2012-13,51,0,12.1,1.4,3.5,0.7,1.7,0.7,1.8,0.5,0.6,0.4,1.8,2.2,0.9,0.2,0.2,0.6,1,4,0.4,0.419,0.383,0.5,0.719,0.523
351,Darius Johnson-Odom\johnsda03,23,LAL,NBA,2012-13,4,0,1.5,0,1,0,0.8,0,0.3,0,0,0.3,0.8,1,0.3,0,0,0,0,0,0,0,0,0,,0
352,DeQuan Jones\jonesde01,22,ORL,NBA,2012-13,63,17,12.7,1.5,3.5,1.4,2.9,0.1,0.6,0.5,0.8,0.3,1.4,1.7,0.3,0.3,0.3,0.5,0.9,3.7,0.436,0.47,0.257,0.456,0.667,0.485
353,Kevin Jones\joneske01,23,CLE,NBA,2012-13,32,0,10.4,1.3,3.3,1.3,3.3,0,0,0.3,0.5,1.2,1.3,2.4,0.3,0.3,0.2,0.3,0.8,3,0.402,0.402,,0.402,0.6,0.418
354,Perry Jones\jonespe01,21,OKC,NBA,2012-13,38,1,7.4,1,2.6,1,2.6,0,0.1,0.3,0.4,0.3,1.3,1.6,0.3,0.1,0.2,0.4,0.6,2.3,0.394,0.402,0,0.394,0.667,0.417
355,Terrence Jones\joneste01,21,HOU,NBA,2012-13,19,0,14.5,2.3,4.9,2,3.9,0.3,1,0.7,0.9,1.5,1.9,3.4,0.8,0.6,1,0.7,1.1,5.5,0.457,0.507,0.263,0.484,0.765,0.512
356,Kris Joseph\josepkr01,24,TOT,NBA,2012-13,10,0,5.4,0.2,1.4,0.2,1.1,0,0.3,0.5,0.8,0.1,0.6,0.7,0.1,0.3,0,0.2,0.3,0.9,0.143,0.182,0,0.143,0.625,0.257
357,Michael Kidd-Gilchrist\kiddgmi01,19,CHA,NBA,2012-13,78,77,26,3.6,7.9,3.6,7.7,0,0.1,1.8,2.4,1.7,4.2,5.8,1.5,0.7,0.9,1.3,2.1,9,0.458,0.462,0.222,0.46,0.749,0.506
358,Viacheslav Kravtsov\kravtvi01,25,DET,NBA,2012-13,25,0,9,1.3,1.8,1.3,1.8,0,0,0.4,1.5,1,0.8,1.8,0.4,0.2,0.4,0.6,1.3,3.1,0.717,0.717,,0.717,0.297,0.618
359,Doron Lamb\lambdo01,21,TOT,NBA,2012-13,47,0,12.3,1.3,3.5,1,2.7,0.3,0.8,0.4,0.7,0.2,0.8,1,0.7,0.3,0,0.6,1.1,3.3,0.368,0.365,0.378,0.411,0.588,0.433
360,Jeremy Lamb\lambje01,20,OKC,NBA,2012-13,23,0,6.4,1,3,0.7,1.7,0.4,1.3,0.6,0.6,0.2,0.6,0.8,0.2,0.1,0.1,0.3,0.6,3.1,0.353,0.395,0.3,0.419,1,0.479
361,Meyers Leonard\leoname01,20,POR,NBA,2012-13,69,9,17.5,2.2,4,2.1,3.9,0,0.1,1,1.3,1.2,2.5,3.7,0.5,0.2,0.6,0.7,2.4,5.5,0.545,0.548,0.429,0.551,0.809,0.596
362,Damian Lillard\lillada01,22,POR,NBA,2012-13,82,82,38.6,6.7,15.7,4.5,9.6,2.3,6.1,3.3,3.9,0.5,2.6,3.1,6.5,0.9,0.2,3,2.1,19,0.429,0.469,0.368,0.501,0.844,0.546
363,Scott Machado\machasc01,22,HOU,NBA,2012-13,6,0,3.5,0.5,1,0.5,0.8,0,0.2,0.3,0.3,0,0.2,0.2,1,0.3,0,1.3,0,1.3,0.5,0.6,0,0.5,1,0.581
364,Kendall Marshall\marshke01,21,PHO,NBA,2012-13,48,3,14.6,1.2,3.1,0.7,1.6,0.5,1.5,0.2,0.3,0.1,0.8,0.9,3,0.5,0.1,1.2,1,3,0.371,0.423,0.315,0.447,0.571,0.455
365,Fab Melo\melofa01,22,BOS,NBA,2012-13,6,0,6,0.5,1,0.5,1,0,0,0.2,0.7,0,0.5,0.5,0,0.3,0.3,0.2,1.2,1.2,0.5,0.5,,0.5,0.25,0.451
366,Khris Middleton\middlkh01,21,DET,NBA,2012-13,27,0,17.6,2.3,5.2,1.8,3.6,0.5,1.7,1,1.2,0.1,1.7,1.9,1,0.6,0.1,0.4,2,6.1,0.44,0.5,0.311,0.489,0.844,0.532
367,Darius Miller\milleda01,22,NOH,NBA,2012-13,52,2,13.3,0.8,2.1,0.4,1,0.4,1.1,0.2,0.2,0.2,1.3,1.5,0.8,0.3,0.2,0.4,1.7,2.3,0.407,0.423,0.393,0.509,1,0.529
368,Quincy Miller\millequ01,20,DEN,NBA,2012-13,7,0,3.7,0.6,1.7,0.6,1.6,0,0.1,0.1,0.3,0.1,0.1,0.3,0.4,0.1,0,0.1,0.4,1.3,0.333,0.364,0,0.333,0.5,0.349
369,Donatas Motiejunas\motiedo01,22,HOU,NBA,2012-13,44,14,12.2,2.2,4.8,1.7,3,0.5,1.9,0.7,1.2,0.8,1.3,2.1,0.7,0.2,0.2,0.8,1.7,5.7,0.455,0.562,0.289,0.512,0.627,0.531
370,Arnett Moultrie\moultar01,22,PHI,NBA,2012-13,47,0,11.5,1.7,2.9,1.7,2.9,0,0,0.4,0.6,1.6,1.5,3.1,0.2,0.4,0.2,0.4,0.9,3.7,0.582,0.582,,0.582,0.643,0.595
371,Kevin Murphy\murphke01,22,UTA,NBA,2012-13,17,0,3.1,0.4,1.6,0.4,1.4,0.1,0.3,0,0,0,0.2,0.2,0.1,0.1,0,0.2,0.2,0.9,0.25,0.261,0.2,0.268,,0.268
372,Andrew Nicholson\nichoan01,23,ORL,NBA,2012-13,75,28,16.7,3.4,6.5,3.4,6.5,0,0,1,1.3,0.9,2.5,3.4,0.6,0.3,0.4,1.1,1.8,7.8,0.527,0.527,,0.527,0.798,0.557
373,Kyle O'Quinn\oquinky01,22,ORL,NBA,2012-13,57,5,11.2,1.8,3.5,1.8,3.4,0,0,0.5,0.8,1.1,2.5,3.7,0.9,0.2,0.5,0.6,1.9,4.1,0.513,0.515,0,0.513,0.667,0.535
374,Tim Ohlbrecht\ohlbrti01,24,HOU,NBA,2012-13,3,0,4,0.3,1,0.3,1,0,0,0.3,0.3,0,0.3,0.3,0.3,0.3,0,1.3,0.3,1,0.333,0.333,,0.333,1,0.436
375,Miles Plumlee\plumlmi01,24,IND,NBA,2012-13,14,0,3.9,0.4,1.5,0.4,1.5,0,0,0.2,0.3,0.9,0.7,1.6,0.1,0,0.2,0.2,0.4,0.9,0.238,0.238,,0.238,0.75,0.286
376,Pablo Prigioni\prigipa01,35,NYK,NBA,2012-13,78,18,16.2,1.3,2.8,0.6,1.1,0.7,1.7,0.3,0.3,0.5,1.3,1.8,3,0.9,0,1.1,1.6,3.5,0.455,0.547,0.396,0.575,0.88,0.595
377,Austin Rivers\riverau01,20,NOH,NBA,2012-13,61,26,23.2,2.4,6.4,1.9,5,0.5,1.4,1,1.8,0.3,1.5,1.8,2.1,0.4,0.1,1.2,2,6.2,0.372,0.385,0.326,0.408,0.546,0.431
378,Brian Roberts\roberbr01,27,NOH,NBA,2012-13,78,5,17,2.7,6.6,2,4.6,0.8,2,0.9,1,0.2,1,1.2,2.8,0.5,0,0.9,1.4,7.1,0.417,0.43,0.386,0.475,0.909,0.509
379,Thomas Robinson\robinth01,21,TOT,NBA,2012-13,70,0,15.1,2,4.6,2,4.6,0,0,0.8,1.6,1.7,2.8,4.5,0.7,0.6,0.4,1.3,1.8,4.8,0.43,0.431,0,0.43,0.523,0.451
380,Terrence Ross\rosste01,21,TOR,NBA,2012-13,73,2,17,2.5,6.3,1.7,3.6,0.9,2.7,0.4,0.6,0.5,1.5,2,0.7,0.6,0.2,0.7,1.7,6.4,0.407,0.464,0.332,0.478,0.714,0.491
381,Robert Sacre\sacrero01,23,LAL,NBA,2012-13,32,3,6.3,0.6,1.5,0.6,1.5,0,0,0.2,0.3,0.3,0.8,1.1,0.2,0,0.3,0.3,1.2,1.3,0.375,0.375,,0.375,0.636,0.407
382,Mike Scott\scottmi01,24,ATL,NBA,2012-13,40,1,9.4,1.8,3.7,1.8,3.7,0,0,1.1,1.4,1,1.8,2.8,0.3,0.1,0.1,0.5,0.8,4.6,0.476,0.479,0,0.476,0.768,0.533
383,Tornike Shengelia\shengto01,21,BRK,NBA,2012-13,19,0,4.9,0.5,1.2,0.5,1.1,0.1,0.1,0.5,0.8,0.5,0.7,1.2,0.2,0.2,0.1,0.6,0.6,1.6,0.435,0.429,0.5,0.457,0.563,0.499
384,Alexey Shved\shvedal01,24,MIN,NBA,2012-13,77,16,23.9,3.1,8.2,2,4.5,1.1,3.7,1.4,1.9,0.5,1.7,2.3,3.7,0.7,0.4,1.9,1.5,8.6,0.372,0.435,0.295,0.439,0.72,0.474
385,Henry Sims\simshe01,22,NOH,NBA,2012-13,2,0,2.5,1,1.5,1,1.5,0,0,0,0,1,0,1,0,0,0,0.5,0.5,2,0.667,0.667,,0.667,,0.667
386,Kyle Singler\singlky01,24,DET,NBA,2012-13,82,74,28,3.4,7.8,2.5,5.4,0.9,2.4,1.2,1.5,1.3,2.7,4,0.9,0.7,0.5,1.2,2.6,8.8,0.428,0.464,0.35,0.483,0.806,0.517
387,Jared Sullinger\sullija01,20,BOS,NBA,2012-13,45,5,19.8,2.5,5,2.4,4.9,0,0.1,1,1.4,2,3.8,5.9,0.8,0.5,0.5,0.6,3.4,6,0.493,0.5,0.2,0.496,0.746,0.534
388,Jeffery Taylor\tayloje03,23,CHA,NBA,2012-13,77,29,19.6,2.2,5.2,1.5,3.2,0.7,2,1,1.3,0.7,1.3,1.9,0.8,0.6,0.2,0.6,1.8,6.1,0.431,0.486,0.344,0.497,0.728,0.531
389,Tyshawn Taylor\tayloty01,22,BRK,NBA,2012-13,38,0,5.8,0.8,2.3,0.7,1.9,0.2,0.3,0.4,0.7,0.1,0.4,0.5,0.6,0.3,0,0.7,0.7,2.2,0.368,0.351,0.462,0.402,0.556,0.43
390,Marquis Teague\teaguma01,19,CHI,NBA,2012-13,48,0,8.2,0.9,2.4,0.8,1.9,0.1,0.5,0.2,0.3,0.1,0.9,0.9,1.3,0.2,0.1,0.7,1,2.1,0.381,0.433,0.174,0.398,0.563,0.412
391,Mirza Teletovic\teletmi01,27,BRK,NBA,2012-13,53,0,9.4,1.3,3.5,0.6,1.5,0.7,2,0.2,0.2,0.6,1.2,1.8,0.4,0.2,0.2,0.4,1,3.5,0.384,0.442,0.343,0.484,0.818,0.495
392,Jonas Valanciunas\valanjo01,20,TOR,NBA,2012-13,62,57,23.9,3.3,5.9,3.3,5.9,0,0,2.4,3,2,4,6,0.7,0.3,1.3,1.5,3,8.9,0.557,0.557,,0.557,0.789,0.619
393,Jarvis Varnado\varnaja01,24,TOT,NBA,2012-13,13,0,4.5,0.2,0.5,0.2,0.5,0,0,0.2,0.3,0.2,0.5,0.7,0.2,0.1,0.2,0.5,0.8,0.6,0.429,0.429,,0.429,0.5,0.457
394,Dion Waiters\waitedi01,21,CLE,NBA,2012-13,61,48,28.8,5.5,13.4,4.5,10,1,3.3,2.6,3.5,0.4,2.1,2.4,3,1,0.3,2,1.9,14.7,0.412,0.446,0.31,0.451,0.746,0.492
395,Maalik Wayns\waynsma01,21,TOT,NBA,2012-13,27,1,7.5,1,3.3,0.7,2.1,0.3,1.1,0.6,0.7,0,0.2,0.3,1,0.2,0,0.6,1,2.8,0.295,0.333,0.226,0.335,0.895,0.394
396,Chris Wright\wrighch02,23,DAL,NBA,2012-13,3,0,1.3,0.3,0.7,0.3,0.7,0,0,0,0,0,0,0,0,0,0,0.3,0,0.7,0.5,0.5,,0.5,,0.5
397,Tony Wroten\wroteto01,19,MEM,NBA,2012-13,35,0,7.8,0.9,2.5,0.8,2,0.1,0.5,0.6,0.8,0.4,0.4,0.8,1.2,0.2,0.1,0.8,1,2.6,0.384,0.414,0.25,0.407,0.724,0.461
398,Luke Zeller\zellelu01,25,PHO,NBA,2012-13,16,0,3.6,0.6,1.6,0.5,1.3,0.1,0.3,0,0,0.1,0.6,0.6,0.2,0,0,0,0.3,1.2,0.346,0.381,0.2,0.365,,0.365
399,Tyler Zeller\zellety01,23,CLE,NBA,2012-13,77,55,26.4,3.2,7.3,3.2,7.2,0,0.1,1.6,2,2.1,3.6,5.7,1.2,0.5,0.9,1.2,3.3,7.9,0.438,0.441,0,0.438,0.764,0.486
400,Lavoy Allen\allenla01,22,PHI,NBA,2011-12,41,15,15.2,1.9,4.1,1.9,4.1,0,0,0.3,0.3,1.1,3,4.2,0.8,0.3,0.4,0.5,1.8,4.1,0.473,0.473,,0.473,0.786,0.488
401,Gustavo Ayon\ayongu01,26,NOH,NBA,2011-12,54,24,20.1,2.6,4.8,2.6,4.8,0,0,0.7,1.2,1.6,3.3,4.9,1.4,1,0.9,0.9,2.2,5.9,0.536,0.538,0,0.536,0.619,0.552
402,Keith Benson\bensoke02,23,GSW,NBA,2011-12,3,0,3,0,0.3,0,0.3,0,0,0,0,0.7,0.3,1,0,0,0,0,0,0,0,0,,0,,0
403,Bismack Biyombo\biyombi01,19,CHA,NBA,2011-12,63,41,23.1,2,4.4,2,4.4,0,0,1.1,2.3,1.8,4,5.8,0.4,0.3,1.8,1.1,2.3,5.2,0.464,0.464,,0.464,0.483,0.48
404,MarShon Brooks\brookma01,23,NJN,NBA,2011-12,56,47,29.4,4.9,11.4,4.1,8.8,0.8,2.7,2,2.6,1.3,2.3,3.6,2.3,0.9,0.3,2.1,2.1,12.6,0.428,0.463,0.313,0.465,0.764,0.502
405,Alec Burks\burksal01,20,UTA,NBA,2011-12,59,0,15.9,2.6,6.1,2.3,5.3,0.3,0.8,1.8,2.4,1,1.3,2.2,0.9,0.5,0.1,0.9,1.4,7.2,0.429,0.442,0.333,0.45,0.727,0.506
406,Jimmy Butler\butleji01,22,CHI,NBA,2011-12,42,0,8.5,0.8,1.9,0.7,1.6,0,0.3,1,1.3,0.5,0.8,1.3,0.3,0.3,0.1,0.3,0.5,2.6,0.405,0.441,0.182,0.418,0.768,0.526
407,Derrick Byars\byarsde01,27,SAS,NBA,2011-12,2,0,18.5,1.5,5.5,1.5,2.5,0,3,2,2,3,2.5,5.5,0.5,1,0,0,1,5,0.273,0.6,0,0.273,1,0.392
408,Norris Cole\coleno01,23,MIA,NBA,2011-12,65,2,19.4,2.7,6.9,2.4,5.8,0.3,1.2,1,1.3,0.3,1.1,1.4,2,0.7,0,1.6,1.9,6.8,0.393,0.417,0.276,0.417,0.776,0.452
409,Eric Dawson\dawsoer01,27,SAS,NBA,2011-12,4,0,9.8,1.8,3,1.8,3,0,0,0.3,0.5,1.3,1.3,2.5,0,0.3,0.5,0.8,1.5,3.8,0.583,0.583,,0.583,0.5,0.582
410,Justin Dentmon\dentmju01,26,TOT,NBA,2011-12,6,0,15.2,1.7,4.7,1.3,2.3,0.3,2.3,0.7,1,0,1.3,1.3,1.7,0.3,0,1.2,1.7,4.3,0.357,0.571,0.143,0.393,0.667,0.424
411,Jerome Dyson\dysonje01,24,NOH,NBA,2011-12,9,1,20,2.1,5.3,2,4.4,0.1,0.9,3.1,4,0.2,1.9,2.1,2,1.2,0.2,2.2,2.1,7.4,0.396,0.45,0.125,0.406,0.778,0.525
412,Kenneth Faried\farieke01,22,DEN,NBA,2011-12,46,39,22.5,3.9,6.7,3.9,6.7,0,0,2.4,3.6,3.1,4.6,7.7,0.8,0.7,1,1.2,2.5,10.2,0.586,0.586,,0.586,0.665,0.618
